Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Max Trainer,CAM45691 SAWICAOSBCE,5/14/2015,5/14/2015,5/11/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45839 ICAOSGCESL6,5/11/2015,5/11/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45839 ICAOSGCESL6,5/14/2015,5/14/2015,5/11/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45841 ICAOSGCESL8,,5/11/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45842 ICAOSGCESL9,5/16/2015,5/16/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45845 ICAOSBCESL5,,5/14/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45846 ICAOSBCESL6,,5/14/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47271 ICAOSGCESL10,5/12/2015,5/12/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47271 ICAOSGCESL10,,5/13/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47271 ICAOSGCESL10,5/14/2015,5/14/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47271 ICAOSGCESL10,5/18/2015,5/17/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47272 ICAOSGCESL11,,5/11/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47272 ICAOSGCESL11,5/17/2015,5/17/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47272 ICAOSGCESL11,,5/17/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47273 ICAOSBCESL10,5/14/2015,5/14/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47274 ICAOSBCESL11,5/12/2015,5/12/2015,5/11/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,5/13/2015,5/13/2015,5/11/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,5/15/2015,5/15/2015,5/11/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,5/17/2015,5/17/2015,5/11/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,,5/17/2015,5/11/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM47324 APTNC120HAMF*KST,,5/17/2015,5/11/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47329 MOVIC120HAMF*KST,5/15/2015,5/15/2015,5/11/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47334 TLN*C120HAMF*KST,5/17/2015,5/17/2015,5/11/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47570 CI**C120HAMF*KST,,5/13/2015,5/11/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47571 CMDGC120HAMF*KST,5/12/2015,5/12/2015,5/11/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,5/14/2015,5/11/2015,2,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,5/15/2015,5/11/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,5/17/2015,5/11/2015,2,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45693 ICASESF14A,5/23/2015,5/23/2015,5/18/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45693 ICASESF14A,5/24/2015,5/24/2015,5/18/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,5/19/2015,5/19/2015,5/18/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM45694 ICASESF14B,5/18/2015,5/18/2015,5/18/2015,19,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,,5/18/2015,5/18/2015,4,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,5/19/2015,5/19/2015,5/18/2015,6,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,5/20/2015,5/20/2015,5/18/2015,10,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,5/21/2015,5/21/2015,5/18/2015,9,Electronic - Short Form,Web
