Bowflex Max Trainer,Short Form,CAM48752 WNATN120J14FSTIC,Call Center Internal,4/11/2016,4/16/2016,1,1599.00
Treadclimber,Short Form,CAM48811 MOVSN120HKINGTIC,Call Center Internal,4/11/2016,4/16/2016,1,1049.00
Bowflex Max Trainer,Short Form,CAM49156 FOXNN120J14FSTIC,Call Center Internal,4/11/2016,4/16/2016,1,1049.00
Treadclimber,Short Form,CAM49232 DCADN120BOO16TIC,Call Center Internal,4/11/2016,4/16/2016,1,2298.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,4/11/2016,4/16/2016,5,8187.43
Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,4/11/2016,4/16/2016,3,4505.00
Treadclimber,Electronic - Short Form,CAM6060 SAWOTVTC,Call Center Internal,4/11/2016,4/17/2016,1,2157.07
Bowflex Max Trainer,Electronic - Short Form,CAM44172 dseesf14a,Web,4/11/2016,4/17/2016,3,4747.00
Bowflex Max Trainer,Electronic - Short Form,CAM45798 DSEESF14H,Web,4/11/2016,4/17/2016,1,1598.00
Bowflex Max Trainer,Electronic - Short Form,CAM48876 DSEESF15A,Web,4/11/2016,4/17/2016,1,1307.00
Bowflex Max Trainer,Electronic - UnSourced,CAM44236 SAWMAX,Call Center Internal,4/11/2016,4/17/2016,12,22781.00
Treadclimber,Electronic - UnSourced,CAM6025 SAWWEBTC,Call Center Internal,4/11/2016,4/17/2016,4,7448.19
Treadclimber,Electronic - UnSourced,CAM16414 DEGBFTRC,Web,4/11/2016,4/17/2016,6,12667.95
Bowflex Home Gyms,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,4/11/2016,4/17/2016,0,56.96
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM23877 degd1sitest,Web,4/11/2016,4/17/2016,5,3699.97
Treadclimber,Electronic - UnSourced,CAM23879 degt1sitetc,Web,4/11/2016,4/17/2016,1,2029.10
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,4/11/2016,4/17/2016,2,3226.90
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,4/11/2016,4/17/2016,1,688.00
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM34888 degdbst,Web,4/11/2016,4/17/2016,4,2135.00
Bowflex Max Trainer,Electronic - UnSourced,CAM41189 degemax,Web,4/11/2016,4/17/2016,32,52422.98
Bowflex Max Trainer,Electronic - UnSourced,CAM44433 dege1sitemx,Web,4/11/2016,4/17/2016,20,33491.99
Treadclimber,Online,CAM6110 SAWGOOGTC,Call Center Internal,4/11/2016,4/17/2016,2,4356.07
Treadclimber,Online Display,CAM45041 SAWDODSTLT,Call Center Internal,4/11/2016,4/17/2016,1,2029.10
Bowflex Max Trainer,Online Display,CAM47239 SAWDODCTOE,Call Center Internal,4/11/2016,4/17/2016,2,3807.60
Bowflex Max Trainer,Online Display,CAM49245 SAWDODSTLE,Call Center Internal,4/11/2016,4/17/2016,1,1599.00
Bowflex Selecttech Dumbbells,Online Display,CAM39081 dodrfddl1,Web,4/11/2016,4/17/2016,1,549.00
Bowflex Max Trainer,Online Display,CAM47251 DODCTOEDL2,Web,4/11/2016,4/17/2016,9,14027.00
Treadclimber,Online Display,CAM47254 DODCTOTDL1,Web,4/11/2016,4/17/2016,1,2278.10
Bowflex Home Gyms,Online Display,CAM47260 DODCTOGDL1,Web,4/11/2016,4/17/2016,0,38.98
Bowflex Max Trainer,Online Display,CAM49246 DODSTLEDL1,Web,4/11/2016,4/17/2016,1,1049.00
Bowflex Max Trainer,Online Search,CAM44223 SAWDOSBIE,Call Center Internal,4/11/2016,4/17/2016,3,4476.30
Bowflex Max Trainer,Online Search,CAM44230 SAWDOSG2E,Call Center Internal,4/11/2016,4/17/2016,6,11652.00
Bowflex Max Trainer,Online Search,CAM44539 SAWDOSG2EMOBILE2,Call Center Internal,4/11/2016,4/17/2016,2,3356.60
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,4/11/2016,4/17/2016,0,177.93
Treadclimber,Online Search,CAM31082 dosg2tgl1tc,Web,4/11/2016,4/17/2016,1,3044.06
Bowflex Catalog,Online Search,CAM32376 dosg2csl1,Web,4/11/2016,4/17/2016,3,94.90
Bowflex Selecttech Dumbbells,Online Search,CAM32678 dosg2dgl1st,Web,4/11/2016,4/17/2016,3,2189.98
Treadclimber,Online Search,CAM37440 dosg2tsl21,Web,4/11/2016,4/17/2016,3,6255.23
Treadclimber,Online Search,CAM37493 dosbitsl6,Web,4/11/2016,4/17/2016,1,2048.08
Bowflex Selecttech Dumbbells,Online Search,CAM37741 dosbidsl9,Web,4/11/2016,4/17/2016,1,887.00
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,4/11/2016,4/17/2016,1,2998.00
Treadclimber,Online Search,CAM39442 dosbitgl1tc,Web,4/11/2016,4/17/2016,1,2029.10
Treadclimber,Online Search,CAM43666 dosg2tmobile4,Web,4/11/2016,4/17/2016,1,2029.10
Bowflex Max Trainer,Online Search,CAM44429 dosbiesl1,Web,4/11/2016,4/17/2016,6,10561.99
Bowflex Max Trainer,Online Search,CAM44435 dosg2egl1mx,Web,4/11/2016,4/17/2016,11,17215.00
Bowflex Max Trainer,Online Search,CAM44497 dosg2esl1,Web,4/11/2016,4/17/2016,13,20313.99
Bowflex Max Trainer,Online Search,CAM44520 dosbiegl1mx,Web,4/11/2016,4/17/2016,2,3297.00
Bowflex Max Trainer,Online Search,CAM45009 dosg2eml1,Web,4/11/2016,4/17/2016,6,10160.99
Bowflex Max Trainer,Online Search,CAM45729 DOSG2ESL6,Web,4/11/2016,4/17/2016,2,2128.00
Bowflex Max Trainer,Online Search,CAM45730 DOSG2ESL7,Web,4/11/2016,4/17/2016,7,11610.00
Bowflex Max Trainer,Online Search,CAM47151 DOSG2EML2,Web,4/11/2016,4/17/2016,2,3198.00
Bowflex Max Trainer,Online Search,CAM47152 DOSBIESL8,Web,4/11/2016,4/17/2016,1,1599.00
Bowflex Home Gyms,Online Search,CAM47263 DOSBIGSL20,Web,4/11/2016,4/17/2016,0,38.98
Bowflex Home Gyms,Online Search,CAM47265 DOSG2GSL38,Web,4/11/2016,4/17/2016,0,62.96
Bowflex Max Trainer,Online Shopping,CAM45043 SAWDOFG2E,Call Center Internal,4/11/2016,4/17/2016,1,699.30
Bowflex Home Gyms,Online Shopping,CAM32062 dofg2gfeed1,Web,4/11/2016,4/17/2016,1,1648.98
Bowflex Catalog,Online Shopping,CAM33966 dofg2cfeed1,Web,4/11/2016,4/17/2016,1,1421.96
Bowflex Max Trainer,Online Shopping,CAM44887 dofg2efeed1,Web,4/11/2016,4/17/2016,10,17925.99
Bowflex Max Trainer,Online Shopping,CAM44948 dofbiefeed1,Web,4/11/2016,4/17/2016,1,1599.00
Bowflex Max Trainer,Online Shopping,CAM48975 DOFG2EFEED2,Web,4/11/2016,4/17/2016,5,7963.00
Bowflex Catalog,Online Shopping,CAM48980 DOFG2CFEED3,Web,4/11/2016,4/17/2016,1,93.34
Bowflex Max Trainer,Online Social,CAM48200 SAWDOXFBESCODE,Call Center Internal,4/11/2016,4/17/2016,1,1608.60
Treadclimber,Online Social,CAM48184 DOXFBTSCODE001,Web,4/11/2016,4/17/2016,1,2029.10
Bowflex Max Trainer,Online Social,CAM48202 DOXFBESCODE002,Web,4/11/2016,4/17/2016,9,13202.99
Bowflex Max Trainer,Online Social,CAM48203 DOXFBESCODE003,Web,4/11/2016,4/17/2016,1,1599.00
Bowflex Max Trainer,Online Social,CAM48205 DOXFBESCODE005,Web,4/11/2016,4/17/2016,2,2257.00
